freq,isced11,age,sex,unit,geo\TIME_PERIOD	2013 	2015 
A,ED0-2,Y25-64,M,PC,EU27_2020	88.2 u	88.8 e
A,ED0-2,Y25-64,M,PC,EU28	87.8 u	89.0 u
A,ED0-2,Y25-64,M,PC,FI	93.2 	92.0 
A,ED0-2,Y25-64,M,PC,FR	86.3 u	76.4 u
A,ED0-2,Y25-64,M,PC,HR	78.7 u	90.7 
A,ED0-2,Y25-64,M,PC,HU	91.4 	95.1 
A,ED0-2,Y25-64,M,PC,IE	88.9 u	93.0 u
A,ED0-2,Y25-64,M,PC,IS	92.6 	91.2 
A,ED0-2,Y25-64,M,PC,IT	83.9 u	82.7 
A,ED0-2,Y25-64,M,PC,LT	82.8 u	91.8 
A,ED0-2,Y25-64,M,PC,LU	88.4 u	88.0 
A,ED0-2,Y25-64,M,PC,LV	86.3 	84.7 
A,ED0-2,Y25-64,M,PC,MK	: u	91.5 
A,ED0-2,Y25-64,M,PC,MT	89.5 u	93.5 
A,ED0-2,Y25-64,M,PC,NL	84.9 	82.0 
A,ED0-2,Y25-64,M,PC,NO	93.9 	92.4 
A,ED0-2,Y25-64,M,PC,PL	84.5 u	91.9 u
A,ED0-2,Y25-64,M,PC,PT	91.0 u	91.3 
A,ED0-2,Y25-64,M,PC,RO	89.1 	93.8 
A,ED0-2,Y25-64,M,PC,RS	89.9 u	94.3 
A,ED0-2,Y25-64,M,PC,SE	89.1 	87.8 
A,ED0-2,Y25-64,M,PC,SI	92.3 	95.7 
A,ED0-2,Y25-64,M,PC,SK	93.8 	90.6 
A,ED0-2,Y25-64,M,PC,UK	82.2 u	90.9 u
A,ED0-2,Y25-64,T,PC,AT	93.3 	93.3 
A,ED0-2,Y25-64,T,PC,BE	85.6 	86.8 
A,ED0-2,Y25-64,T,PC,BG	86.7 	92.7 
A,ED0-2,Y25-64,T,PC,CH	89.6 	86.5 
A,ED0-2,Y25-64,T,PC,CY	93.2 	96.9 
A,ED0-2,Y25-64,T,PC,CZ	90.0 u	95.1 
A,ED0-2,Y25-64,T,PC,DE	83.8 	91.1 
A,ED0-2,Y25-64,T,PC,DK	89.0 	95.2 
A,ED0-2,Y25-64,T,PC,EE	89.6 	90.3 
A,ED0-2,Y25-64,T,PC,EL	71.2 	94.9 
A,ED0-2,Y25-64,T,PC,ES	96.9 	96.8 
A,ED0-2,Y25-64,T,PC,EU27_2007	88.7 u	90.4 u
A,ED0-2,Y25-64,T,PC,EU27_2020	88.9 u	90.2 e
A,ED0-2,Y25-64,T,PC,EU28	88.7 u	90.4 u
A,ED0-2,Y25-64,T,PC,FI	94.0 	92.7 
A,ED0-2,Y25-64,T,PC,FR	87.0 u	82.3 u
A,ED0-2,Y25-64,T,PC,HR	87.4 u	92.5 
A,ED0-2,Y25-64,T,PC,HU	93.6 	96.6 
A,ED0-2,Y25-64,T,PC,IE	90.6 u	92.9 u
A,ED0-2,Y25-64,T,PC,IS	91.1 	92.3 
A,ED0-2,Y25-64,T,PC,IT	84.2 u	83.3 
A,ED0-2,Y25-64,T,PC,LT	87.4 u	91.9 
A,ED0-2,Y25-64,T,PC,LU	90.0 u	90.3 
